Datatype: kernel_timings_CPU_n100
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
5031	6007	9606	14755	3904	4134	13076	65909	43403	39577	0
5316	6423	9996	14403	3779	3920	12673	46506	35415	40670	0
5478	6486	9959	14631	3854	4009	12667	47047	32665	36952	0
5253	6163	9569	13776	3565	3717	12010	44694	33749	39404	0
5382	6356	9718	14092	3580	3712	11892	44518	32991	37903	0
5257	6250	9501	13779	3637	3682	11881	44477	33035	38179	0
5146	6142	9422	14326	3573	3753	11939	43768	32026	36938	0
4968	5948	9401	13630	3427	3678	11788	43544	32046	37070	0
5040	5955	9493	13926	3427	3626	11817	43279	32231	37194	0
5044	5928	9255	13763	3524	3601	11690	43563	31885	36908	0
5000	5971	9286	13537	3733	3943	12030	43576	32089	36842	0
5064	5895	9312	13599	3736	3929	12714	46342	34438	39477	0
5382	6368	9438	13578	3506	3572	11721	43313	32415	36991	0
5194	5911	9194	13483	3401	3618	12309	45794	34968	39587	0
5078	5967	9412	13649	3394	3635	11568	43219	32390	37015	0
5231	5992	9236	13683	3463	3634	11829	43011	32000	36815	0
5074	5994	9246	13844	3471	3717	11597	43580	31900	37154	0
5082	5966	9340	13573	3435	3569	11525	46407	34582	39096	0
5239	6238	10547	14649	4047	4007	13041	47569	35384	40325	0
5416	6251	9672	14024	3752	3783	12255	44889	33399	38420	0
5176	6168	9671	14027	3629	3711	11926	43829	32320	37312	0
5158	6068	9409	13680	3440	3637	11665	47775	35444	43994	0
5926	6921	10675	15041	3976	4130	12882	46724	34350	39796	0
5418	6383	9883	14057	3674	3878	12126	46224	31523	36260	0
4954	5970	9185	13459	3360	3543	11585	42626	31574	36135	0
4998	5824	9198	13307	3373	3565	11427	42716	31472	36204	0
4934	5850	9059	13407	3358	3601	11405	42750	31508	36147	0
4931	5866	9090	13444	3369	3538	11489	42579	31624	36120	0
4931	5889	9055	13466	3360	3536	11469	42558	31488	36218	0
4933	5834	9106	13361	3380	3605	11481	42506	31510	36235	0
4971	5813	9119	13494	3358	3530	11449	42563	31547	36474	0
5063	5820	9117	13456	3379	3534	11506	42627	31478	36095	0
5020	5814	9054	13385	3387	3738	11482	42470	31680	36341	0
4998	5821	9058	13365	3538	3550	11426	42588	31569	36212	0
4926	5875	9082	13479	3359	3535	11456	42560	31631	36203	0
4933	5881	9056	13290	3366	3534	11675	42782	31511	36262	0
4935	5836	9079	13453	3355	3549	11444	42605	31399	36250	0
4934	5833	9117	13523	3376	3534	11473	42527	31539	36163	0
4934	5844	9099	13415	3362	3532	11484	42728	31504	36244	0
4933	5830	9111	13374	3371	3545	11469	43524	32718	37623	0
5151	6048	9440	13861	3543	3748	11893	44118	31590	36176	0
5000	5887	9057	13398	3390	3538	11498	42586	31529	36263	0
