Datatype: kernel_timings_GPU_n46
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
16	4	31	140	24	16	702	1	45	27	1
16	4	31	139	23	18	696	2	44	29	1
17	5	33	144	23	16	698	1	45	28	1
16	4	31	142	24	16	707	2	45	28	1
17	4	32	145	24	16	679	1	44	27	1
15	4	30	138	22	19	670	1	44	27	1
15	4	30	136	24	16	678	1	43	27	1
15	5	31	141	24	15	694	1	45	28	1
16	4	31	142	24	16	695	1	46	29	1
16	4	31	148	23	16	697	1	44	29	1
16	4	34	138	24	16	699	1	44	29	1
16	4	30	143	22	16	699	1	45	29	1
16	4	31	138	24	16	698	1	45	28	1
17	4	31	139	23	16	703	2	45	28	1
16	5	31	138	24	16	704	1	45	29	1
15	4	31	142	24	16	699	1	45	28	1
16	4	31	144	24	16	698	1	46	28	1
16	4	31	144	23	16	699	1	45	28	1
16	5	31	143	24	16	698	1	45	27	1
16	4	31	138	24	16	697	1	45	29	1
17	4	31	141	25	14	695	2	45	28	1
17	4	31	144	24	16	721	1	45	29	1
16	4	31	140	23	16	701	1	45	29	1
16	4	31	140	23	16	699	1	45	29	1
16	4	31	139	24	16	697	1	44	28	1
22	5	31	140	24	16	699	1	45	28	1
16	4	31	147	24	16	693	2	46	28	1
16	4	31	136	24	16	693	1	45	29	1
16	4	31	146	24	16	695	1	45	29	1
16	4	31	138	23	16	695	1	45	28	1
16	4	31	140	23	16	699	1	45	28	1
16	4	31	137	23	16	692	5	47	28	1
17	5	32	154	25	15	694	1	45	28	1
16	5	31	142	23	16	708	1	45	29	1
17	5	31	138	24	16	694	1	43	28	1
16	4	31	141	23	16	707	2	45	28	1
15	4	31	163	25	16	734	2	45	29	1
25	5	30	146	22	16	717	1	45	28	1
17	4	31	142	24	16	692	1	45	28	1
16	4	31	137	24	16	695	1	45	29	1
16	4	31	144	24	16	728	2	44	29	1
16	4	31	145	23	16	697	1	45	29	1
16	4	31	142	24	16	704	1	45	28	1
16	4	32	139	23	15	695	6	46	28	1
17	5	31	140	24	16	696	1	45	28	1
16	4	31	136	23	16	698	1	44	28	1
16	4	33	138	24	16	699	1	45	28	1
16	4	31	138	23	15	699	1	45	29	1
16	4	31	141	24	16	698	2	46	28	1
16	4	31	135	24	16	697	1	43	30	1
17	4	31	141	24	16	721	2	45	28	1
15	4	31	142	24	16	703	1	45	28	1
16	4	32	141	23	15	696	2	45	29	1
16	4	31	136	22	16	674	1	44	27	1
15	4	31	137	22	15	670	1	44	27	1
15	4	31	136	22	15	690	2	44	27	1
16	4	31	143	24	16	698	1	45	28	1
17	4	31	138	23	16	700	1	45	28	1
16	4	31	138	24	16	714	2	45	29	1
17	4	31	141	24	16	708	1	45	30	1
17	5	31	143	24	16	696	1	45	28	1
17	4	31	141	23	16	695	1	45	29	1
16	4	29	142	23	16	700	1	45	28	1
16	4	31	139	23	16	702	1	45	29	1
17	5	31	141	24	16	697	1	45	29	1
16	4	31	136	23	16	697	1	45	29	1
15	4	31	141	23	16	696	1	45	29	1
16	4	33	138	23	16	695	1	45	28	1
16	4	31	140	24	16	698	1	46	29	1
16	4	31	134	23	16	694	1	46	28	1
15	4	30	140	23	16	695	1	45	29	1
16	4	31	138	23	16	694	1	45	29	1
16	4	31	136	24	16	694	1	44	29	1
16	4	31	139	23	16	693	1	45	28	1
16	5	31	143	24	16	699	1	45	28	1
22	5	31	148	23	16	694	1	45	29	1
16	5	31	135	24	16	698	1	45	28	1
15	4	31	139	22	16	695	1	45	29	1
16	4	32	138	24	16	696	1	45	29	1
16	4	34	139	23	16	697	1	45	29	1
16	4	31	138	23	16	714	1	45	27	1
16	4	31	136	23	16	698	1	45	28	1
16	4	31	144	24	16	694	1	45	28	1
17	4	31	138	24	18	696	1	44	29	1
17	4	31	144	24	16	700	1	45	29	1
16	4	31	136	24	16	702	1	45	29	1
16	4	31	136	24	16	700	1	45	28	1
16	4	31	142	23	16	698	1	45	31	1
17	4	31	144	25	17	706	1	44	29	1
16	4	31	141	23	16	698	1	45	28	1
16	4	31	144	22	15	695	1	45	29	1
16	4	33	140	24	16	696	1	45	28	1
16	4	31	142	24	29	693	1	46	29	1
16	4	31	137	25	16	695	1	45	28	1
15	4	31	140	22	16	717	1	45	28	1
16	4	31	156	25	17	729	1	45	29	1
16	4	31	144	23	16	694	1	45	28	1
16	4	31	139	23	16	702	1	44	28	1
16	4	31	141	24	16	725	1	45	39	1
16	5	31	139	24	17	696	1	45	28	1
16	4	31	142	24	15	721	1	45	28	1
16	4	34	141	23	16	692	1	44	27	1
15	4	30	136	22	16	673	1	44	27	1
15	4	30	135	22	14	672	1	44	27	1
19	4	31	138	24	16	694	1	44	28	1
16	4	31	143	23	16	692	1	45	29	1
16	4	31	142	24	16	693	1	45	28	1
16	4	33	142	23	16	707	2	45	27	1
16	4	42	143	24	16	694	1	45	29	1
17	4	31	138	24	16	693	1	45	28	1
16	4	31	140	24	16	700	1	45	28	1
16	4	31	148	23	16	699	1	44	29	1
16	4	31	136	23	16	694	1	45	29	1
16	4	31	140	23	15	694	1	46	29	1
16	5	33	140	25	16	698	1	46	28	1
16	4	33	142	24	16	695	1	44	28	1
16	4	31	138	24	16	735	2	45	29	1
15	4	32	137	23	16	695	1	44	29	1
16	4	31	138	24	16	692	2	45	28	1
16	4	31	143	24	16	695	1	45	28	1
17	4	31	140	24	16	697	2	45	28	1
15	4	33	137	23	16	695	1	45	28	1
16	4	31	139	24	16	694	1	45	28	1
16	4	33	140	23	16	694	2	45	28	1
16	4	31	144	24	16	694	2	45	29	1
22	5	32	142	23	16	693	1	45	33	1
17	4	31	143	24	25	698	1	45	28	1
16	4	31	139	23	16	699	1	45	29	1
15	5	31	145	23	16	703	1	46	28	1
16	4	31	145	23	16	696	1	45	28	1
17	4	31	144	23	16	695	2	45	28	1
16	4	31	142	24	16	698	1	45	28	1
29	5	31	140	24	36	698	1	45	27	1
16	4	31	141	23	16	727	1	45	29	1
16	4	31	144	22	15	711	1	45	28	1
16	4	31	141	23	16	694	1	45	28	1
16	4	31	142	24	16	694	2	46	29	1
17	5	32	149	24	16	701	1	45	28	1
16	4	31	141	24	16	698	1	45	29	1
16	4	31	144	23	16	694	1	45	28	1
16	4	31	138	23	16	697	1	45	28	1
16	4	31	140	23	16	698	1	46	27	1
16	4	31	140	24	16	693	1	45	28	1
16	4	31	140	24	16	700	1	45	29	1
16	5	31	142	23	16	694	1	46	29	1
16	4	31	142	23	16	699	1	45	27	1
16	4	31	141	24	16	696	1	44	29	1
16	4	31	148	22	15	705	1	44	28	1
21	5	33	138	37	17	730	1	45	29	1
16	4	31	137	23	16	692	1	45	28	1
16	4	31	136	23	15	679	2	44	27	1
16	4	30	141	22	16	675	1	44	27	1
15	4	30	136	23	15	675	1	44	28	1
16	4	31	140	24	16	704	1	45	29	1
